object_id,annotation_type,annotation_text,annotation_uri
http://purl.org/collections/nl/ubvu/print-218010001925,Biblical person,Elymas,null
http://purl.org/collections/nl/ubvu/print-218010001903,Biblical person,Diciples or apostles,null
http://purl.org/collections/nl/ubvu/print-218010001187,Theme,Jacob blesseth his sons (Genesis 49),null
http://purl.org/collections/nl/ubvu/print-218010001521,Biblical person,Elishah,http://bibleontology.com/resource/Elishah
http://purl.org/collections/nl/ubvu/print-218010002012,Theme,Hanna brengt Samuel naar de tempel.,null
http://purl.org/collections/nl/ubvu/print-218010001887,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002016,Biblical person,Salomo,null
http://purl.org/collections/nl/ubvu/print-218010002010,Theme,Simson wil zijn vrouw bezoeken. Simson en Delila. Dood van Simson,null
http://purl.org/collections/nl/ubvu/print-218010001050,Theme,Rain upon the earth forty days and forty nights,null
http://purl.org/collections/nl/ubvu/print-218010001895,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002010,Theme,The angel of the Lord ascended in the flame of the altar,null
http://purl.org/collections/nl/ubvu/print-218010002035,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001525,Theme,Joas op zevenjarige leeftijd tot koning verklaard,null
http://purl.org/collections/nl/ubvu/print-218010001767,Theme,a dead young man restoured to life by Christ,null
http://purl.org/collections/nl/ubvu/print-218010001343,Theme,battle of the Israelites against the five Kings,null
http://purl.org/collections/nl/ubvu/print-218010001511,Theme,Elijah fed by Ravans,null
http://purl.org/collections/nl/ubvu/print-218010001095,Biblical person,Hagar,http://bibleontology.com/resource/Hagar
http://purl.org/collections/nl/ubvu/print-218010001817,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002011,Theme,"Naomi sends away her daughters-in-law: Orpah returns home, Ruth stays",http://iconclass.org/71F622
http://purl.org/collections/nl/ubvu/print-218010001449,Theme,Jonathan and his armour-bearer kill about twenty Philistines,http://iconclass.org/71G222
http://purl.org/collections/nl/ubvu/print-218010001683,Theme,Magiërs uit het Oosten bieden Maria en het kind geschenken aan.,null
http://purl.org/collections/nl/ubvu/print-218010001554,Theme,the prayer of Manasseh,http://iconclass.org/71L25221
http://purl.org/collections/nl/ubvu/print-218010002023,Theme,Haman entreats Ahasuerus to issue a decree that all the Jews are to be put to death; Ahasuerus consents and yields his signet-ring to Haman,http://iconclass.org/71Q45
http://purl.org/collections/nl/ubvu/print-218010001079,Theme,The circumcision of Ismael and all the males born in Abram's house,null
http://purl.org/collections/nl/ubvu/print-218010002015,Theme,"Saul's head cut off , and striped of his armour",null
http://purl.org/collections/nl/ubvu/print-218010001239,Theme,Mozes ontvangt de tien geboden op de berg Sinaï,null
http://purl.org/collections/nl/ubvu/print-218010001591,Theme,Daniël in de leeuwenkuil.,null
http://purl.org/collections/nl/ubvu/print-218010001396,Theme,Simson worden de ogen uitgestoken.,null
http://purl.org/collections/nl/ubvu/print-218010001481,Theme,David bevrijdt twee van zijn vrouwen uit de handen van de Amalekieten,null
http://purl.org/collections/nl/ubvu/print-218010001891,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002014,Biblical person,Abjatar,null
http://purl.org/collections/nl/ubvu/print-218010002031,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001937,Theme,Paul raises Eutychus to life,null
http://purl.org/collections/nl/ubvu/print-218010001763,Theme,Jesus called Matthew from the receipt of costums,null
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,Elijah,http://bibleontology.com/resource/Elijah
http://purl.org/collections/nl/ubvu/print-218010001371,Biblical person,Yael,http://bibleontology.com/resource/Yael
http://purl.org/collections/nl/ubvu/print-218010001721,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001162,Biblical person,Tamar,http://bibleontology.com/resource/Tamar
http://purl.org/collections/nl/ubvu/print-218010001333,Theme,"Achan, his family and possessions (including the stolen spoils) are taken to the valley of Achor to be stoned",http://iconclass.org/71E5256
http://purl.org/collections/nl/ubvu/print-218010002021,Theme,Jerusalem and the temple burnt by Nebuchadnezzar,null
http://purl.org/collections/nl/ubvu/print-218010001333,Theme,Achan met zijn familie gestenigt en verbrandt.,null
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Samson,http://bibleontology.com/resource/Samson
http://purl.org/collections/nl/ubvu/print-218010001795,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002031,Biblical person,Joseph_(Husband of Maria),http://bibleontology.com/resource/Joseph_Husband_of_Maria
http://purl.org/collections/nl/ubvu/print-218010001027,Biblical person,Eve,http://bibleontology.com/resource/Eve
http://purl.org/collections/nl/ubvu/print-218010001908,Theme,Uitstorting van de Heilige Geest,null
http://purl.org/collections/nl/ubvu/print-218010001812,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002021,Theme,NEbukadnessar haalt de tempel in Jeruzalem leeg en verwoest deze.,null
http://purl.org/collections/nl/ubvu/print-218010001696,Biblical person,Maria,http://bibleontology.com/resource/Maria
http://purl.org/collections/nl/ubvu/print-218010001940,Biblical person,Petrus,null
http://purl.org/collections/nl/ubvu/print-218010001767,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001696,Biblical person,Joseph,http://bibleontology.com/resource/Joseph
http://purl.org/collections/nl/ubvu/print-218010001664,Theme,annunciation of Christ's birth to the shepherds (and/or shepherdesses) at night; a host of singing angels in the air,http://iconclass.org/73B14
http://purl.org/collections/nl/ubvu/print-218010002022,Theme,Cyrus let the Jewish people go up to Jerusalem,null
http://purl.org/collections/nl/ubvu/print-218010002038,Theme,"multiplication of loaves and fishes for a multitude of four or five thousand people (Matthew 14:13-21, 15:32-39; Mark 6:32-44, 8:1-10; Luke 9:10-17; John 6:1-14)",http://iconclass.org/73C612
http://purl.org/collections/nl/ubvu/print-218010001747,Theme,The Centurion's fairh,null
http://purl.org/collections/nl/ubvu/print-218010001191,Theme,Het lichaam van Jakob wordt naar Kanaän gebracht,null
http://purl.org/collections/nl/ubvu/print-218010002033,Theme,De dochter van Herodias danst op het feest van Herodus.,null
http://purl.org/collections/nl/ubvu/print-218010001131,Theme,De droom van Jacob in Betel.,null
http://purl.org/collections/nl/ubvu/print-218010001075,Biblical person,Abraham,null
http://purl.org/collections/nl/ubvu/print-218010002005,Theme,"Moses on Mount Sinai with the tables of the law (Exodus 24:9-18, 31:18)",http://iconclass.org/71E134
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Samson,http://bibleontology.com/resource/Samson
http://purl.org/collections/nl/ubvu/print-218010001746,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001397,Biblical person,Samson,http://bibleontology.com/resource/Samson
http://purl.org/collections/nl/ubvu/print-218010001683,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
